#obj_file src_file links_in links_out loc_changes
./commands/ash/mksyntax.o commands/ash/mksyntax.c 3 9 531
./commands/elle/eekmac.o commands/elle/eekmac.c 8 16 179
./commands/sysenv/sysenv.o commands/sysenv/sysenv.c 1 6 83
./commands/yacc/error.o commands/yacc/error.c 32 8 317
./servers/vfs/mount.o servers/vfs/mount.c 4 39 2717
./commands/mdb/trace.o commands/mdb/trace.c 2 9 51
./servers/iso9660fs/misc.o servers/iso9660fs/misc.c 4 0 63
./commands/mknod/mknod.o commands/mknod/mknod.c 5 6 73
./servers/pfs/buffer.o servers/pfs/buffer.c 3 6 187
./commands/indent/io.o commands/indent/io.c 12 43 636
./commands/sed/process.o commands/sed/process.c 7 31 705
./commands/rshd/rshd.o commands/rshd/rshd.c 13 35 445
./commands/cawf/string.o commands/cawf/string.c 7 23 351
./commands/yacc/warshall.o commands/yacc/warshall.c 1 0 125
./commands/arp/arp.o commands/arp/arp.c 2 33 473
./servers/pm/table.o servers/pm/table.c 16 41 219
./commands/less/less/os.o commands/less/less/os.c 7 14 335
./commands/who/who.o commands/who/who.c 4 9 74
./commands/finger/finger.o commands/finger/finger.c 23 45 1096
./commands/readfs/readfs.o commands/readfs/readfs.c 19 26 601
./kernel/watchdog.o kernel/watchdog.c 9 3 131
./servers/pfs/stadir.o servers/pfs/stadir.c 1 5 114
./commands/reboot/sh_wall.o commands/reboot/sh_wall.c 2 19 119
./commands/make/compat.o commands/make/compat.c 4 55 753
./servers/pm/exec.o servers/pm/exec.c 4 15 1738
./commands/ash/main.o commands/ash/main.c 8 57 633
./drivers/tty/pty.o drivers/tty/pty.c 4 13 1224
./commands/tcpdp/tcpd.o commands/tcpdp/tcpd.c 1 32 311
./servers/sched/main.o servers/sched/main.c 2 13 127
./commands/make/str.o commands/make/str.c 7 9 506
./commands/make/cond.o commands/make/cond.c 5 34 1410
./commands/elvis/vcmd.o commands/elvis/vcmd.c 29 57 975
./servers/vm/exit.o servers/vm/exit.c 4 7 168
./commands/mdocml/man_html.o commands/mdocml/man_html.c 1 25 751
./commands/elvis/input.o commands/elvis/input.c 1 37 852
./commands/modem/modem.o commands/modem/modem.c 4 31 255
./commands/sleep/sleep.o commands/sleep/sleep.c 1 3 34
./servers/pfs/table.o servers/pfs/table.c 16 15 122
./drivers/audio/sb16/sb16.o drivers/audio/sb16/sb16.c 20 9 498
./commands/indent/comment.o commands/indent/comment.c 1 29 457
./commands/stty/stty.o commands/stty/stty.c 20 19 1284
./commands/mdocml/man_hash.o commands/mdocml/man_hash.c 2 5 106
./commands/which/which.o commands/which/which.c 1 10 86
./commands/aal/rd_unsig2.o commands/aal/rd_unsig2.c 1 1 34
./kernel/protect.o kernel/protect.c 18 42 882
./drivers/audio/sb16/mixer.o drivers/audio/sb16/mixer.c 4 3 269
./drivers/dp8390/wdeth.o drivers/dp8390/wdeth.c 1 4 378
./servers/hgfs/stat.o servers/hgfs/stat.c 4 11 172
./commands/pkg_install/add/perform.o commands/pkg_install/add/perform.c 1 120 3286
./commands/mdocml/chars.o commands/mdocml/chars.c 4 7 206
./commands/elle/eeerr.o commands/elle/eeerr.c 11 16 183
./commands/elvis/unix.o commands/elvis/unix.c 2 5 226
./servers/rs/request.o servers/rs/request.c 14 57 1267
./commands/ps/ps.o commands/ps/ps.c 18 25 1487
./commands/awk/proctab.o commands/awk/proctab.c 2 37 207
./servers/is/dmp_kernel.o servers/is/dmp_kernel.c 13 4 1255
./commands/look/look.o commands/look/look.c 10 12 158
./commands/asmconv/parse_ack.o commands/asmconv/parse_ack.c 4 21 911
./commands/tar/getdate.o commands/tar/getdate.c 1 8 1037
./commands/advent/score.o commands/advent/score.c 1 7 199
./commands/cksum/cksum.o commands/cksum/cksum.c 5 7 155
./commands/pkg_install/create/util.o commands/pkg_install/create/util.c 3 14 170
./drivers/lance/lance.o drivers/lance/lance.c 4 38 5322
./commands/grep/grep.o commands/grep/grep.c 39 30 1373
./commands/advent/database.o commands/advent/database.c 11 14 141
./commands/telnetd/pty.o commands/telnetd/pty.c 1 6 78
./commands/loadramdisk/loadramdisk.o commands/loadramdisk/loadramdisk.c 2 10 126
./commands/lex/tblcmp.o commands/lex/tblcmp.c 14 40 887
./commands/cdprobe/cdprobe.o commands/cdprobe/cdprobe.c 2 14 140
./commands/swifi/fault_model.o commands/swifi/fault_model.c 33 26 1472
./commands/asmconv/emit_gnu.o commands/asmconv/emit_gnu.c 2 17 679
./commands/tar/tree.o commands/tar/tree.c 15 21 821
./commands/mdocml/msec.o commands/mdocml/msec.c 1 1 37
./commands/patch/inp.o commands/patch/inp.c 3 51 889
./commands/make/strlist.o commands/make/strlist.c 3 2 93
./commands/umount/umount.o commands/umount/umount.c 4 13 143
./commands/elvis/vars.o commands/elvis/vars.c 35 0 115
./commands/pax/options.o commands/pax/options.c 7 106 1624
./servers/vfs/lock.o servers/vfs/lock.c 2 13 287
./commands/dis88/disfp.o commands/dis88/disfp.c 3 12 157
./commands/mdocml/mdoc_action.o commands/mdocml/mdoc_action.c 2 26 1034
./servers/iso9660fs/table.o servers/iso9660fs/table.c 22 14 158
./commands/calendar/calendar.o commands/calendar/calendar.c 17 20 236
./commands/elle/eevini.o commands/elle/eevini.c 67 0 100
./commands/ftp101/local.o commands/ftp101/local.c 7 13 137
./commands/find/ls.o commands/find/ls.c 1 13 165
./commands/printroot/printroot.o commands/printroot/printroot.c 3 11 100
./commands/less/less/search.o commands/less/less/search.c 9 43 1452
./servers/vm/main.o servers/vm/main.c 10 59 1108
./commands/screendump/screendump.o commands/screendump/screendump.c 6 12 138
./commands/pax/pat_rep.o commands/pax/pat_rep.c 8 29 1128
./commands/mdocml/man_validate.o commands/mdocml/man_validate.c 2 7 328
./servers/pm/trace.o servers/pm/trace.c 2 17 471
./drivers/filter/util.o drivers/filter/util.c 4 8 169
./servers/ipc/utility.o servers/ipc/utility.c 1 2 35
./commands/awk/run.o commands/awk/run.c 67 97 1931
./commands/su/su.o commands/su/su.c 1 22 149
./commands/cleantmp/cleantmp.o commands/cleantmp/cleantmp.c 23 23 363
./drivers/ti1225/ti1225.o drivers/ti1225/ti1225.c 1 34 894
./servers/pfs/misc.o servers/pfs/misc.c 1 0 24
./commands/fingerd/fingerd.o commands/fingerd/fingerd.c 2 22 94
./commands/telnet/ttn.o commands/telnet/ttn.c 1 39 689
./commands/irdpd/irdpd.o commands/irdpd/irdpd.c 29 30 637
./commands/pax/pax.o commands/pax/pax.c 36 28 441
./commands/mdocml/main.o commands/mdocml/main.c 1 52 1740
./commands/asmconv/parse_bas.o commands/asmconv/parse_bas.c 2 23 940
./drivers/dpeth/dp.o drivers/dpeth/dp.c 2 30 1602
./commands/rlogind/setup.o commands/rlogind/setup.c 2 19 92
./commands/acknm/acknm.o commands/acknm/acknm.c 15 16 226
./servers/iso9660fs/inode.o servers/iso9660fs/inode.c 12 7 622
./commands/chown/chown.o commands/chown/chown.c 11 16 200
./drivers/dpeth/3c509.o drivers/dpeth/3c509.c 1 17 634
./commands/swifi/read_nlist.o commands/swifi/read_nlist.c 1 7 716
./commands/decomp16/decomp16.o commands/decomp16/decomp16.c 36 11 444
./kernel/interrupt.o kernel/interrupt.c 10 10 292
./servers/ds/store.o servers/ds/store.c 9 22 1664
./commands/mkfs.mfs/mkfs.o commands/mkfs.mfs/mkfs.c 64 41 1661
./servers/vfs/misc.o servers/vfs/misc.c 14 34 1669
./servers/vm/addravl.o servers/vm/addravl.c 16 0 14
./commands/mdocml/mdoc_hash.o commands/mdocml/mdoc_hash.c 2 6 93
./commands/tsort/tsort.o commands/tsort/tsort.c 15 16 356
./commands/telnet/ttn_conf.o commands/telnet/ttn_conf.c 6 0 12
./commands/mdb/io.o commands/mdb/io.c 20 15 309
./commands/od/od.o commands/od/od.c 29 11 314
./commands/ash/exec.o commands/ash/exec.c 15 51 1272
./drivers/printer/printer.o drivers/printer/printer.c 3 26 915
