#function_name function_calls
parse_cookie 32
zd1201_setconfig 32
rtl_w1w0_phy 32
get_rndis_wlan_priv 32
receive_packet 32
lance_load_multicast 32
phy_ethtool_sset 32
reg_set_and_check 32
lance_probe1 32
readword 32
generate_cookie 32
smc_enable 32
tlan_mii_read_reg 31
wl1271_cmd_template_set 31
tg3_write_mem 31
mlx4_cleanup_icm_table 31
rx_poll 31
phy_ethtool_gset 31
lmc_rx 31
de_tx 31
wlapi_bmac_write_shm 31
dump_regs 31
bnx2_shmem_rd 31
ar9003_mci_state 31
set_essid 31
olympic_rx 31
b43_nphy_stay_in_carrier_search 31
sdla_cmd 31
queue_put_desc 30
adapter_init 30
e1000_irq_enable 30
at91_emac_write 30
readConfigRid 30
bit_bang 30
amd8111e_read_mib 30
eth_close 30
rx_off 30
mace_tx_timeout 30
flexcan_read 30
cleanup_data 30
ring_tx_db 30
get_wait_data 30
phy_encode 30
ser12_set_divisor 30
mii_init 30
bnx2x_sp_post 30
i596_close 30
update_tx_stats 30
smc_open 30
openwin 30
ethoc_write 30
free_bd 30
brcmu_pkt_buf_free_skb 30
read_zsreg 30
b43_httab_write 30
register_candev 30
get_hw_addr 30
vsc_write 30
collect_sge_port_stats 30
write_tx_desc 30
rndis_query 30
be_mcc_notify_wait 30
enslave 30
brcmf_sdcard_cfg_write 30
stop_nic 30
cxgb_close 30
send_frame 29
alloc_tr 29
ixgbe_fcoe_ddp 29
tx_init 29
send_pcb 29
cas_init 29
txq_stop 29
dma_low 29
bap_read 29
ei_interrupt 29
rt73usb_config 29
rdlp 29
dfx_port_write_long 29
usbnet_resume 29
ql_wait_reg_rdy 29
reset_rx 29
ehea_up 29
get_phy_id 29
led_link 29
reclaimable 28
i2400m_reset 28
mace_set_address 28
mace_write 28
prism2_hostapd 28
dbg_dump 28
rtl92c_dm_init 28
write_sa2400 28
write_zsctrl 28
ath9k_htc_ps_restore 28
smsc75xx_read_reg 28
if_usb_receive 28
iwl_trans_send_cmd_pdu 28
IN4500 28
b43_hf_read 28
write_dma_reg 28
free_slots 28
print_id 28
wl1251_hw_init 28
t3_register_cpl_handler 28
