Source;Target;Label;Weight
1147;1130;__toread;1
1147;487;__lockfile;1
191;138;mknodat;1
1120;396;strlen;1
1120;312;strcpy;1
1061;1248;memcpy;1
1061;1116;strnlen;1
621;577;__syscall_ret;1
533;487;__lockfile;1
533;0;__uflow;1
533;231;memchr;1
533;487;__unlockfile;1
533;1248;memcpy;1
310;551;__block_app_sigs;1
310;762;__errno_location;1
310;1273;sem_init;1
310;842;sem_wait;1
310;551;__restore_sigs;1
310;546;__lock;1
310;293;sem_post;1
310;546;__unlock;1
310;722;rewinddir;1
310;161;open;1
310;551;__block_all_sigs;1
310;802;__libc_sigaction;1
310;781;readdir;1
310;1152;atoi;1
310;600;close;1
310;777;memset;1
608;762;__errno_location;1
335;577;__syscall_ret;1
839;762;__errno_location;1
839;577;__syscall_ret;1
570;507;ioctl;1
298;216;__pthread_join;1
866;320;__setxid;1
466;217;__rem_pio2;1
466;1243;__cos;1
466;513;__sin;1
144;762;__errno_location;1
144;420;fprintf;1
144;694;fputwc;1
144;63;wcsspn;1
144;741;wmemchr;1
144;487;__unlockfile;1
144;202;snprintf;1
144;818;btowc;1
144;1274;mbtowc;1
144;679;strerror;1
144;1225;fwide;1
144;487;__lockfile;1
439;485;__intscan;1
439;864;__shlim;1
599;332;__private_cond_signal;1
665;769;__get_locale;1
665;1118;malloc;1
376;577;__syscall_ret;1
376;814;__syscall_cp;1
383;487;__unlockfile;1
383;487;__lockfile;1
383;385;__overflow;1
265;577;__syscall_ret;1
289;814;__syscall_cp;1
289;577;__syscall_ret;1
829;396;strlen;1
829;312;strcpy;1
829;418;uname;1
829;762;__errno_location;1
976;686;iswspace;1
976;1179;iswprint;1
213;1211;towupper;1
715;577;__syscall_ret;1
715;762;__errno_location;1
630;577;__syscall_ret;1
877;704;__dlsym;1
1116;231;memchr;1
1093;1087;fabsl;1
770;577;__syscall_ret;1
165;577;__syscall_ret;1
542;988;rintf;1
542;731;scalbnf;1
726;764;__fpclassifyl;1
726;696;ilogbl;1
292;1109;vfwscanf;1
292;806;wcsrtombs;1
341;577;__syscall_ret;1
187;1084;wmemset;1
1107;487;__lockfile;1
1107;612;getline;1
1107;487;__unlockfile;1
1107;1147;ungetc;1
1107;231;memchr;1
1107;0;__uflow;1
1014;577;__syscall_ret;1
1014;814;__syscall_cp;1
427;577;__syscall_ret;1
427;675;__procfdname;1
532;577;__syscall_ret;1
152;1036;nextafterl;1
235;577;__syscall_ret;1
174;1118;free;1
601;444;__pthread_exit;1
905;762;__errno_location;1
108;553;expm1l;1
108;1221;expl;1
385;68;__towrite;1
223;719;sinh;1
223;944;fabs;1
223;253;sin;1
223;1267;tan;1
223;1268;copysign;1
223;200;cos;1
223;553;exp;1
223;865;sqrt;1
969;112;pthread_rwlock_rdlock;1
969;1003;pthread_rwlock_wrlock;1
969;10;pthread_rwlock_unlock;1
1078;533;fgets;1
1078;1034;strchr;1
1078;316;__fclose_ca;1
1078;556;socket;1
1078;348;__dns_parse;1
1078;312;strcpy;1
1078;244;memcmp;1
1078;914;isalnum;1
1078;600;close;1
1078;416;__fopen_rb_ca;1
1078;760;__res_msend;1
1078;912;strstr;1
1078;396;strlen;1
1078;40;__dn_expand;1
1078;1129;mbstowcs;1
1078;497;connect;1
1078;602;getsockname;1
1078;1021;__res_mkquery;1
1078;1116;strnlen;1
1078;404;__lookup_ipliteral;1
1078;1248;memcpy;1
1078;1110;qsort;1
712;577;__syscall_ret;1
445;487;__unlockfile;1
445;762;__errno_location;1
445;487;__lockfile;1
528;310;__synccall;1
528;762;__errno_location;1
670;270;recvfrom;1
800;834;asctime_r;1
112;526;pthread_rwlock_timedrdlock;1
319;949;__strchrnul;1
319;777;memset;1
607;675;__procfdname;1
607;532;execve;1
607;762;__errno_location;1
124;725;fwrite;1
124;396;strlen;1
1072;401;__libc_start_main;1
1072;1214;main;1
1252;608;wcrtomb;1
441;577;__syscall_ret;1
441;551;__restore_sigs;1
441;551;__block_app_sigs;1
115;120;__rand48_step;1
145;623;wcscspn;1
1244;577;__syscall_ret;1
1049;507;ioctl;1
384;401;__libc_start_main;1
384;1214;main;1
641;295;atan2f;1
641;489;logf;1
455;898;catanl;1
884;577;__syscall_ret;1
469;207;sprintf;1
795;448;__string_read;1
795;810;vfscanf;1
1169;762;__errno_location;1
1169;814;__syscall_cp;1
1169;577;__syscall_ret;1
891;577;__syscall_ret;1
1023;577;__syscall_ret;1
1023;675;__procfdname;1
592;1110;qsort;1
592;1118;free;1
592;1248;memcpy;1
592;59;closedir;1
592;762;__errno_location;1
592;98;stat;1
592;396;strlen;1
592;538;fnmatch;1
592;266;readdir_r;1
592;847;strcmp;1
592;561;opendir;1
592;204;strcat;1
592;1118;malloc;1
592;312;strcpy;1
592;1118;realloc;1
592;1034;strchr;1
1044;487;__lockfile;1
1044;487;__unlockfile;1
192;326;item_str;1
192;1118;malloc;1
192;326;print_button;1
192;326;on_key_resize;1
192;326;on_key_esc;1
192;326;print_title;1
192;326;item_set_selected;1
192;326;item_is_selected;1
192;326;draw_box;1
192;326;item_is_tag;1
192;326;item_set;1
192;697;toupper;1
192;396;strlen;1
192;252;strncpy;1
192;1018;gettext;1
192;326;item_n;1
192;326;draw_shadow;1
192;1118;free;1
192;326;item_count;1
192;326;print_autowrap;1
1098;555;strspn;1
1098;319;strcspn;1
1241;65;tolower;1
291;966;mtx_timedlock;1
685;671;read;1
685;577;__syscall_ret;1
685;1083;write;1
41;553;expf;1
41;19;fabsf;1
1016;24;sinf;1
1016;553;expf;1
1016;833;cosf;1
983;1118;malloc;1
983;1118;free;1
785;577;__syscall_ret;1
785;814;__syscall_cp;1
769;621;__munmap;1
769;1118;malloc;1
769;546;__lock;1
769;949;__strchrnul;1
769;218;getenv;1
769;847;strcmp;1
769;173;__mo_lookup;1
769;1248;memcpy;1
769;546;__unlock;1
769;355;__map_file;1
501;762;__errno_location;1
501;803;fcntl;1
501;934;getpid;1
204;312;strcpy;1
204;396;strlen;1
274;600;close;1
274;693;strncmp;1
274;1180;fopen;1
274;202;snprintf;1
274;161;open;1
274;635;_pthread_cleanup_push;1
274;427;fstat;1
274;396;strlen;1
